3.70,9.99E+01
3.71,9.97E+01
3.72,9.94E+01
3.73,9.92E+01
3.74,9.90E+01
3.75,9.88E+01
3.76,9.86E+01
3.77,9.84E+01
3.78,9.82E+01
3.79,9.80E+01
3.80,9.78E+01
3.81,9.76E+01
3.82,9.74E+01
3.83,9.72E+01
3.84,9.70E+01
3.85,9.69E+01
3.86,9.67E+01
3.87,9.65E+01
3.88,9.63E+01
3.89,9.61E+01
3.90,9.59E+01
3.91,9.57E+01
3.92,9.55E+01
3.93,9.53E+01
3.94,9.51E+01
3.95,9.50E+01
3.96,9.48E+01
3.97,9.46E+01
3.98,9.44E+01
3.99,9.42E+01
4.00,9.40E+01
4.01,9.39E+01
4.02,9.37E+01
4.03,9.35E+01
4.04,9.33E+01
4.05,9.31E+01
4.06,9.30E+01
4.07,9.28E+01
4.08,9.26E+01
4.09,9.24E+01
4.10,9.23E+01
4.11,9.21E+01
4.12,9.19E+01
4.13,9.18E+01
4.14,9.16E+01
4.15,9.14E+01
4.16,9.12E+01
4.17,9.11E+01
4.18,9.09E+01
4.19,9.07E+01
4.20,9.06E+01
4.21,9.04E+01
4.22,9.02E+01
4.23,9.01E+01
4.24,8.99E+01
4.25,8.97E+01
4.26,8.96E+01
4.27,8.94E+01
4.28,8.93E+01
4.29,8.91E+01
4.30,8.89E+01
4.31,8.88E+01
4.32,8.86E+01
4.33,8.85E+01
4.34,8.83E+01
4.35,8.81E+01
4.36,8.80E+01
4.37,8.78E+01
4.38,8.77E+01
4.39,8.75E+01
4.40,8.74E+01
4.41,8.72E+01
4.42,8.71E+01
4.43,8.69E+01
4.44,8.68E+01
4.45,8.66E+01
4.46,8.65E+01
4.47,8.63E+01
4.48,8.62E+01
4.49,8.60E+01
4.50,8.59E+01
4.51,8.57E+01
4.52,8.56E+01
4.53,8.54E+01
4.54,8.53E+01
4.55,8.51E+01
4.56,8.50E+01
4.57,8.48E+01
4.58,8.47E+01
4.59,8.46E+01
4.60,8.44E+01
4.61,8.43E+01
4.62,8.41E+01
4.63,8.40E+01
4.64,8.38E+01
4.65,8.37E+01
4.66,8.36E+01
4.67,8.34E+01
4.68,8.33E+01
4.69,8.32E+01
4.70,8.30E+01
4.71,8.29E+01
4.72,8.27E+01
4.73,8.26E+01
4.74,8.25E+01
4.75,8.23E+01
4.76,8.22E+01
4.77,8.21E+01
4.78,8.19E+01
4.79,8.18E+01
4.80,8.17E+01
4.81,8.15E+01
4.82,8.14E+01
4.83,8.13E+01
4.84,8.11E+01
4.85,8.10E+01
4.86,8.09E+01
4.87,8.08E+01
4.88,8.06E+01
4.89,8.05E+01
4.90,8.04E+01
4.91,8.02E+01
4.92,8.01E+01
4.93,8.00E+01
4.94,7.99E+01
4.95,7.97E+01
4.96,7.96E+01
4.97,7.95E+01
4.98,7.94E+01
4.99,7.92E+01
5.00,7.91E+01
5.01,7.90E+01
5.02,7.89E+01
5.03,7.87E+01
5.04,7.86E+01
5.05,7.85E+01
5.06,7.84E+01
5.07,7.83E+01
5.08,7.81E+01
5.09,7.80E+01
5.10,7.79E+01
5.11,7.78E+01
5.12,7.77E+01
5.13,7.75E+01
5.14,7.74E+01
5.15,7.73E+01
5.16,7.72E+01
5.17,7.71E+01
5.18,7.70E+01
5.19,7.68E+01
5.20,7.67E+01
5.21,7.66E+01
5.22,7.65E+01
5.23,7.64E+01
5.24,7.63E+01
5.25,7.62E+01
5.26,7.60E+01
5.27,7.59E+01
5.28,7.58E+01
5.29,7.57E+01
5.30,7.56E+01
5.31,7.55E+01
5.32,7.54E+01
5.33,7.53E+01
5.34,7.52E+01
5.35,7.50E+01
5.36,7.49E+01
5.37,7.48E+01
5.38,7.47E+01
5.39,7.46E+01
5.40,7.45E+01
5.41,7.44E+01
5.42,7.43E+01
5.43,7.42E+01
5.44,7.41E+01
5.45,7.40E+01
5.46,7.39E+01
5.47,7.38E+01
5.48,7.36E+01
5.49,7.35E+01
5.50,7.34E+01
5.51,7.33E+01
5.52,7.32E+01
5.53,7.31E+01
5.54,7.30E+01
5.55,7.29E+01
5.56,7.28E+01
5.57,7.27E+01
5.58,7.26E+01
5.59,7.25E+01
5.60,7.24E+01
5.61,7.23E+01
5.62,7.22E+01
5.63,7.21E+01
5.64,7.20E+01
5.65,7.19E+01
5.66,7.18E+01
5.67,7.17E+01
5.68,7.16E+01
5.69,7.15E+01
5.70,7.14E+01
5.71,7.13E+01
5.72,7.12E+01
5.73,7.11E+01
5.74,7.10E+01
5.75,7.09E+01
5.76,7.08E+01
5.77,7.07E+01
5.78,7.06E+01
5.79,7.05E+01
5.80,7.04E+01
5.81,7.03E+01
5.82,7.02E+01
5.83,7.02E+01
5.84,7.01E+01
5.85,7.00E+01
5.86,6.99E+01
5.87,6.98E+01
5.88,6.97E+01
5.89,6.96E+01
5.90,6.95E+01
5.91,6.94E+01
5.92,6.93E+01
5.93,6.92E+01
5.94,6.91E+01
5.95,6.90E+01
5.96,6.89E+01
5.97,6.89E+01
5.98,6.88E+01
5.99,6.87E+01
6.00,6.86E+01
6.01,6.85E+01
6.02,6.84E+01
6.03,6.83E+01
6.04,6.82E+01
6.05,6.81E+01
6.06,6.81E+01
6.07,6.80E+01
6.08,6.79E+01
6.09,6.78E+01
6.10,6.77E+01
6.11,6.76E+01
6.12,6.75E+01
6.13,6.74E+01
6.14,6.74E+01
6.15,6.73E+01
6.16,6.72E+01
6.17,6.71E+01
6.18,6.70E+01
6.19,6.69E+01
6.20,6.68E+01
6.21,6.68E+01
6.22,6.67E+01
6.23,6.66E+01
6.24,6.65E+01
6.25,6.64E+01
6.26,6.63E+01
6.27,6.62E+01
6.28,6.62E+01
6.29,6.61E+01
6.30,6.60E+01
6.31,6.59E+01
6.32,6.58E+01
6.33,6.58E+01
6.34,6.57E+01
6.35,6.56E+01
6.36,6.55E+01
6.37,6.54E+01
6.38,6.53E+01
6.39,6.53E+01
6.40,6.52E+01
6.41,6.51E+01
6.42,6.50E+01
6.43,6.49E+01
6.44,6.49E+01
6.45,6.48E+01
6.46,6.47E+01
6.47,6.46E+01
6.48,6.45E+01
6.49,6.45E+01
6.50,6.44E+01
6.51,6.43E+01
6.52,6.42E+01
6.53,6.42E+01
6.54,6.41E+01
6.55,6.40E+01
6.56,6.39E+01
6.57,6.38E+01
6.58,6.38E+01
6.59,6.37E+01
6.60,6.36E+01
6.61,6.35E+01
6.62,6.35E+01
6.63,6.34E+01
6.64,6.33E+01
6.65,6.32E+01
6.66,6.32E+01
6.67,6.31E+01
6.68,6.30E+01
6.69,6.29E+01
6.70,6.29E+01
6.71,6.28E+01
6.72,6.27E+01
6.73,6.26E+01
6.74,6.26E+01
6.75,6.25E+01
6.76,6.24E+01
6.77,6.23E+01
6.78,6.23E+01
6.79,6.22E+01
6.80,6.21E+01
6.81,6.21E+01
6.82,6.20E+01
6.83,6.19E+01
6.84,6.18E+01
6.85,6.18E+01
6.86,6.17E+01
6.87,6.16E+01
6.88,6.16E+01
6.89,6.15E+01
6.90,6.14E+01
6.91,6.13E+01
6.92,6.13E+01
6.93,6.12E+01
6.94,6.11E+01
6.95,6.11E+01
6.96,6.10E+01
6.97,6.09E+01
6.98,6.09E+01
6.99,6.08E+01
7.00,6.07E+01
7.01,6.06E+01
7.02,6.06E+01
7.03,6.05E+01
7.04,6.04E+01
7.05,6.04E+01
7.06,6.03E+01
7.07,6.02E+01
7.08,6.02E+01
7.09,6.01E+01
7.10,6.00E+01
7.11,6.00E+01
7.12,5.99E+01
7.13,5.98E+01
7.14,5.98E+01
7.15,5.97E+01
7.16,5.96E+01
7.17,5.96E+01
7.18,5.95E+01
7.19,5.94E+01
7.20,5.94E+01
7.21,5.93E+01
7.22,5.92E+01
7.23,5.92E+01
7.24,5.91E+01
7.25,5.90E+01
7.26,5.90E+01
7.27,5.89E+01
7.28,5.89E+01
7.29,5.88E+01
7.30,5.87E+01
7.31,5.87E+01
7.32,5.86E+01
7.33,5.85E+01
7.34,5.85E+01
7.35,5.84E+01
7.36,5.83E+01
7.37,5.83E+01
7.38,5.82E+01
7.39,5.82E+01
7.40,5.81E+01
7.41,5.80E+01
7.42,5.80E+01
7.43,5.79E+01
7.44,5.78E+01
